Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000281,Male,No,0,Graduate,No,4979,0.0,92.0,360.0,1.0,Urban,Y
LP000391,Male,Yes,3+,Graduate,No,2567,3826.0,102.0,360.0,1.0,Semiurban,Y
LP000341,Male,No,0,Not Graduate,No,9550,0.0,152.0,120.0,1.0,Semiurban,Y
LP000412,Male,Yes,1,Graduate,No,5161,967.0,102.0,360.0,1.0,Semiurban,Y
LP000478,Male,Yes,3+,Not Graduate,No,1006,816.0,25.0,360.0,,Rural,Y
LP000110,,No,1,Graduate,,3912,0.0,68.0,120.0,1.0,Semiurban,Y
LP000460,Male,No,0,Graduate,No,5848,0.0,86.0,36.0,1.0,Semiurban,Y
LP000532,Male,Yes,3+,Graduate,No,7402,3417.0,174.0,360.0,1.0,Urban,Y
LP000133,Male,Yes,1,Graduate,No,6221,475.0,107.0,360.0,1.0,Rural,N
LP000589,Male,No,2,Not Graduate,No,3456,0.0,59.0,360.0,1.0,Rural,N
LP000135,Male,No,1,Graduate,No,3442,0.0,,480.0,1.0,Rural,Y
LP000054,Male,No,0,Graduate,No,6763,0.0,110.0,360.0,1.0,Semiurban,Y
LP000358,Male,Yes,3+,Graduate,Yes,2785,6588.0,,120.0,1.0,Rural,Y
LP000595,Male,Yes,0,Graduate,No,2436,0.0,38.0,360.0,1.0,Urban,Y
LP000102,Male,Yes,0,Graduate,No,4114,3388.0,120.0,240.0,1.0,Semiurban,N
LP000527,Female,Yes,0,Graduate,,4030,2488.0,117.0,180.0,1.0,Rural,Y
LP000485,Male,No,3+,Graduate,No,3450,0.0,48.0,360.0,1.0,Urban,Y
LP000570,Male,Yes,0,Not Graduate,No,4017,1921.0,127.0,240.0,1.0,Semiurban,N
LP000188,Male,Yes,2,Graduate,No,3529,0.0,49.0,360.0,1.0,Urban,Y
LP000343,Male,No,0,Graduate,No,3578,0.0,51.0,120.0,1.0,Semiurban,N
LP000415,Male,No,0,Not Graduate,No,10911,0.0,209.0,,,Semiurban,Y
LP000545,Male,Yes,1,Not Graduate,No,3431,1765.0,92.0,360.0,0.0,Semiurban,N
LP000321,Female,No,0,Graduate,No,5257,0.0,98.0,,1.0,Urban,Y
LP000443,Male,No,0,Graduate,No,3893,0.0,54.0,360.0,1.0,Rural,Y
LP000292,Male,No,0,Not Graduate,No,2168,0.0,,360.0,1.0,Urban,Y
LP000331,Male,Yes,1,Graduate,No,2792,1396.0,81.0,36.0,1.0,Urban,Y
LP000376,Male,No,2,Not Graduate,No,2929,0.0,42.0,360.0,1.0,Urban,N
LP000524,Male,Yes,0,Graduate,No,2441,0.0,35.0,360.0,0.0,Urban,N
LP000521,Female,No,,Graduate,No,2826,0.0,61.0,360.0,1.0,Rural,N
LP000438,Male,Yes,2,Graduate,No,14177,3398.0,239.0,360.0,,Rural,N
LP000562,Male,No,0,Not Graduate,Yes,2034,0.0,38.0,84.0,1.0,Rural,Y
LP000233,Female,Yes,2,Graduate,No,13751,976.0,207.0,360.0,0.0,Urban,Y
LP000293,Female,Yes,0,Graduate,No,1944,11493.0,217.0,360.0,1.0,Semiurban,Y
LP000109,Male,Yes,0,Not Graduate,No,5874,757.0,98.0,84.0,1.0,Urban,Y
LP000194,Female,Yes,0,Not Graduate,No,3442,1881.0,81.0,360.0,1.0,Semiurban,N
LP000100,Female,No,0,Graduate,No,2359,0.0,33.0,360.0,1.0,Semiurban,Y
LP000347,Female,Yes,0,Graduate,Yes,4114,1691.0,83.0,360.0,0.0,Semiurban,Y
LP000071,Male,Yes,1,Not Graduate,No,4561,1267.0,107.0,240.0,0.0,Urban,N
LP000398,Male,Yes,2,Graduate,No,7379,855.0,147.0,300.0,1.0,Urban,Y
LP000380,Male,Yes,0,Graduate,No,6370,764.0,95.0,360.0,1.0,Rural,Y
LP000147,Male,No,3+,Not Graduate,No,3458,0.0,48.0,360.0,1.0,Urban,Y
LP000582,Male,Yes,0,Graduate,Yes,8205,664.0,133.0,360.0,,Urban,Y
LP000249,Male,No,0,Graduate,No,19086,0.0,336.0,360.0,1.0,Urban,Y
LP000593,Male,Yes,3+,Graduate,No,6648,4631.0,176.0,360.0,0.0,Rural,N
LP000314,Male,No,0,Not Graduate,No,3256,0.0,50.0,360.0,,Semiurban,Y
LP000563,Female,Yes,2,Not Graduate,No,2038,7721.0,133.0,360.0,1.0,Semiurban,Y
LP000567,Male,No,2,Graduate,No,5000,0.0,102.0,360.0,1.0,Rural,Y
LP000508,Female,Yes,2,Graduate,No,1119,2680.0,55.0,360.0,,Urban,Y
LP000295,Female,Yes,2,Graduate,No,2366,0.0,33.0,360.0,1.0,Urban,N
LP000319,Male,Yes,0,Graduate,No,2957,1692.0,,360.0,1.0,Semiurban,Y
LP000497,Male,Yes,0,Graduate,,1603,946.0,53.0,360.0,1.0,Rural,Y
LP000099,Male,No,0,Graduate,No,3862,0.0,,360.0,1.0,Urban,Y
LP000323,Male,No,0,Not Graduate,No,3555,0.0,72.0,360.0,1.0,Rural,Y
LP000116,Female,Yes,0,Graduate,,2752,1380.0,78.0,360.0,1.0,Urban,Y
LP000250,Male,Yes,,Not Graduate,No,6812,1854.0,151.0,360.0,1.0,Urban,N
LP000336,Male,Yes,2,Not Graduate,Yes,5261,1563.0,129.0,360.0,,Rural,N
LP000309,Male,Yes,2,Graduate,Yes,2377,3416.0,110.0,360.0,1.0,Semiurban,Y
LP000558,Male,No,2,Graduate,No,5160,0.0,92.0,360.0,1.0,Semiurban,Y
LP000180,Male,Yes,0,Graduate,No,4068,0.0,76.0,,1.0,Semiurban,Y
LP000160,Male,No,0,Graduate,No,5263,0.0,77.0,360.0,1.0,Semiurban,Y
LP000279,Female,Yes,1,Graduate,No,5043,1515.0,95.0,360.0,1.0,Rural,Y
LP000610,Male,Yes,0,Graduate,No,7841,5371.0,201.0,360.0,1.0,Urban,Y
LP000514,Male,No,0,Not Graduate,No,2970,0.0,54.0,120.0,,Semiurban,Y
LP000142,Male,Yes,0,Graduate,No,1767,5476.0,119.0,360.0,1.0,Semiurban,Y
LP000307,Male,Yes,0,Graduate,Yes,16244,1498.0,294.0,360.0,1.0,Urban,Y
LP000603,Female,Yes,0,Graduate,No,1417,1853.0,61.0,360.0,1.0,Urban,Y
